,created_at,sentiment,volumne,sentiment_1dlag,volumne_1dlag,sentiment_2dlag,volumne_2dlag,sentiment_3dlag,volumne_3dlag,open,high,low,close,adjclose,open_prevDay,high_prevDay,low_prevDay,close_prevDay,adjclose_prevDay
124,2014-11-13,0.58635,2,0.24695,2.0,0.7184,1.0,0.6597,1.0,50.12,51.15,50.05,50.34,50.34,49.94,50.47,49.12,49.82,49.82
125,2014-11-15,0.3612,1,0.58635,2.0,0.24695,2.0,0.7184,1.0,,,,,,,,,,
126,2014-11-17,0.0,1,0.3612,1.0,0.58635,2.0,0.24695,2.0,51.5,51.8,50.4,50.8,50.8,50.0,51.77,49.7,51.74,51.74
127,2014-11-18,0.0,2,0.0,1.0,0.3612,1.0,0.58635,2.0,51.17,52.0,51.1,51.54,51.54,51.5,51.8,50.4,50.8,50.8
128,2014-11-19,-0.007949999999999985,2,0.0,2.0,0.0,1.0,0.3612,1.0,50.12,50.38,49.12,49.55,49.55,51.17,52.0,51.1,51.54,51.54
129,2014-11-20,0.6369,1,-0.007949999999999985,2.0,0.0,2.0,0.0,1.0,49.59,50.19,49.2,49.74,49.74,50.12,50.38,49.12,49.55,49.55
130,2014-11-21,0.0,3,0.6369,1.0,-0.007949999999999985,2.0,0.0,2.0,50.44,50.56,48.43,48.56,48.56,49.59,50.19,49.2,49.74,49.74
131,2014-11-24,0.5093,1,0.0,3.0,0.6369,1.0,-0.007949999999999985,2.0,49.04,49.52,48.13,49.34,49.34,50.44,50.56,48.43,48.56,48.56
132,2014-11-25,-0.4278,1,0.5093,1.0,0.0,3.0,0.6369,1.0,49.47,49.94,49.22,49.62,49.62,49.04,49.52,48.13,49.34,49.34
133,2014-11-26,0.1854,3,-0.4278,1.0,0.5093,1.0,0.0,3.0,49.67,49.8,49.32,49.69,49.69,49.47,49.94,49.22,49.62,49.62
134,2014-11-29,0.0,2,0.1854,3.0,-0.4278,1.0,0.5093,1.0,,,,,,,,,,
135,2014-12-02,0.6361,1,0.0,2.0,0.1854,3.0,-0.4278,1.0,46.91,46.98,45.6,46.29,46.29,48.23,48.49,45.8,46.33,46.33
136,2014-12-03,0.0,1,0.6361,1.0,0.0,2.0,0.1854,3.0,45.25,45.94,45.1,45.86,45.86,46.91,46.98,45.6,46.29,46.29
137,2014-12-05,0.0,1,0.0,1.0,0.6361,1.0,0.0,2.0,45.73,45.88,44.45,44.74,44.74,45.72,46.18,45.56,45.66,45.66
